"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 25 03:32:54 UTC 2023","Fri Aug 25 03:33:06 UTC 2023","11713","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"passed","Fri Aug 25 04:27:15 UTC 2023","Fri Aug 25 04:27:17 UTC 2023","2417","","20. Admin Portal - Check details","","","","5. Check Investor Panel",""
"passed","Fri Aug 25 02:48:46 UTC 2023","Fri Aug 25 02:48:58 UTC 2023","11398","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","4. Complete Build Your Portfolio",""
"passed","Fri Aug 25 02:52:33 UTC 2023","Fri Aug 25 02:52:48 UTC 2023","15520","","6. Company Account","","","","4. Complete Build Your Portfolio",""
"passed","Fri Aug 25 03:48:17 UTC 2023","Fri Aug 25 03:48:21 UTC 2023","3984","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"passed","Fri Aug 25 03:38:49 UTC 2023","Fri Aug 25 03:38:51 UTC 2023","2529","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"passed","Fri Aug 25 02:49:46 UTC 2023","Fri Aug 25 02:49:47 UTC 2023","440","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Fri Aug 25 04:27:05 UTC 2023","Fri Aug 25 04:27:06 UTC 2023","572","","20. Admin Portal - Check details","","","","3. Check panels existence",""
"passed","Fri Aug 25 02:19:18 UTC 2023","Fri Aug 25 02:19:43 UTC 2023","25585","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","6. Complete Build Your Portfolio",""
"passed","Fri Aug 25 02:27:31 UTC 2023","Fri Aug 25 02:27:38 UTC 2023","7396","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","6. Complete Super Fund Entry",""
"passed","Fri Aug 25 02:48:35 UTC 2023","Fri Aug 25 02:48:43 UTC 2023","8392","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","2. Create a Trust Account",""
"passed","Fri Aug 25 02:42:53 UTC 2023","Fri Aug 25 02:42:55 UTC 2023","2233","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","8. Navigate from Applicants to Bank Details",""
"passed","Fri Aug 25 02:29:29 UTC 2023","Fri Aug 25 02:29:42 UTC 2023","13153","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","9. Complete Insurance Quote",""
